City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,302.14,84,100,3.09,CC,1706842090
1,port-aux-francais,-49.35,70.2167,280.52,88,16,8.16,TF,1706841809
2,badger,64.8,-147.5333,238.6,69,75,0.0,US,1706842091
3,adamstown,-25.066,-130.1015,298.0,88,53,8.76,PN,1706842092
4,nuuk,64.1835,-51.7216,258.49,85,100,4.63,GL,1706842092
5,bethel,41.3712,-73.414,278.67,78,100,1.31,US,1706842092
6,waitangi,-43.9535,-176.5597,292.49,91,100,3.58,NZ,1706842093
7,kapuskasing,49.4169,-82.4331,258.2,78,0,2.57,CA,1706841866
8,manta,-0.95,-80.7333,301.03,74,40,5.81,EC,1706842072
9,warrnambool,-38.3833,142.4833,291.34,57,2,5.89,AU,1706842095
10,edinburgh of the seven seas,-37.0676,-12.3116,292.15,96,98,7.69,SH,1706842095
11,hawaiian paradise park,19.5933,-154.9731,300.86,71,100,4.12,US,1706842095
12,papatowai,-46.5619,169.4708,283.22,91,100,5.42,NZ,1706841812
13,margaret river,-33.95,115.0667,299.73,56,19,4.96,AU,1706842096
14,blackmans bay,-43.0167,147.3167,292.33,43,11,2.68,AU,1706842096
15,arish,31.1316,33.7984,285.15,80,27,9.75,EG,1706842093
16,college,64.8569,-147.8028,238.65,69,100,0.0,US,1706841672
17,qaqortoq,60.7167,-46.0333,256.38,75,5,6.17,GL,1706841820
18,lerwick,60.1545,-1.1494,282.15,94,100,15.93,GB,1706841837
19,puerto natales,-51.7236,-72.4875,280.92,85,100,1.04,CL,1706842098
20,naze,28.3667,129.4833,293.66,86,95,1.77,JP,1706842098
21,whakatane,-37.9585,176.9854,298.64,78,100,5.81,NZ,1706842098
22,tolanaro,-25.0319,46.9987,297.19,83,40,7.2,MG,1706842099
23,puerto deseado,-47.7503,-65.8938,296.15,34,100,5.47,AR,1706842099
24,agadez,19.75,10.25,283.56,29,24,5.07,NE,1706842100
